sound,mfcc 1,mfcc 2,mfcc 3,mfcc 4,mfcc 5,mfcc 6,mfcc 7,mfcc 8,mfcc 9,mfcc 10,mfcc 11,mfcc 12,chroma_stft,spec_cent,spec_bw,rolloff,zcr
0,-2.7726,-2.7726,-2.7726,-2.7726,-2.7726,-3.9751,-0.5716,-1.0458,1.4938,0.4191,1.1155,2.938,0.3112,7336.64,5617.91,14281.1,0.1677
0,2.129,2.9753,3.5193,4.2972,6.2296,3.1337,1.3311,0.1263,1.7476,2.9913,4.0089,4.2613,0.6011,8127.56,8791.97,20600.5,0.1524
0,-4.5914,-3.7646,-1.4109,-1.8406,0.127,-2.069,-2.9635,-2.8027,-3.033,-0.5362,-0.9043,-0.3033,0.4283,7108.14,8468.1,20334.1,0.2001
0,-0.2219,1.0025,1.3507,0.5358,0.695,0.0276,-0.8452,-0.6118,-1.2295,-2.1826,-3.5574,-1.1915,0.384,7570.83,8972.32,20916.8,0.2132
0,-2.7726,-2.7726,-3.4423,-3.0259,-2.387,-1.9938,-0.3979,-2.6542,-2.084,0.326,0.1863,0.799,0.3634,6671.99,7678.58,18118.8,0.1547
0,2.2752,-0.2638,0.1561,-0.3401,-0.0614,1.3618,2.2666,3.7999,4.4593,5.2609,2.8078,3.1327,0.6683,9070.17,8187.86,20418.9,0.1812
0,2.2806,3.1102,2.2329,4.2369,3.2622,5.0252,3.9352,1.022,2.721,3.5801,3.6721,5.3214,0.6225,9185.8,8399.11,20584.4,0.2706
2,8.2629,9.3203,8.1104,8.1419,7.9246,7.7319,7.6424,6.1064,5.2187,6.2695,5.5507,6.0235,0.5797,2939.55,5913.67,5188.16,0.0167
1,1.105,0.5875,-0.4034,0.8822,0.4243,1.2853,1.0538,0.5418,0.4018,0.5113,0.4476,-0.9936,0.461,4261.81,6768.37,11776.0,0.0661
1,-2.7726,0.513,1.6918,2.6405,2.7297,1.2103,0.3247,-2.0427,-0.3559,-2.3809,-2.2744,-1.8843,0.4249,4408.01,6577.7,14038.3,0.0852
1,-2.7726,2.874,-0.5591,-3.5416,-2.4751,-1.1736,-0.3639,1.4219,-0.2812,0.1661,-0.075,0.2546,0.4374,4072.96,6276.53,11665.6,0.0404
3,5.9367,6.847,5.7127,5.8291,6.5331,6.1109,6.3124,6.3691,5.3558,5.7336,5.9712,6.4708,0.436,5731.1,7896.04,19480.8,0.0522
1,-1.1641,-6.4218,-5.7085,-4.1813,-4.4012,-4.5969,-4.4061,-4.7968,-2.9852,-4.8928,-4.0885,-2.4717,0.3019,4239.34,6518.26,10533.8,0.0476
1,3.0723,3.7164,1.8226,0.8536,1.1773,0.4801,0.494,0.5266,1.0992,0.5422,0.5748,0.394,0.4657,4351.46,6696.33,13452.9,0.0544
1,-2.7726,-3.1189,-2.4309,1.6918,0.573,-0.6748,-0.4222,-2.0773,-1.4337,-2.013,-0.9752,-2.4135,0.4552,4804.08,6663.45,15846.6,0.0775
1,-2.7726,-0.6723,1.2987,1.3974,1.3205,1.5627,2.0384,4.3202,4.6452,4.8706,4.4551,2.7909,0.4492,5102.51,7109.74,16886.1,0.0933
0,-2.376,-3.8551,-3.2378,-1.1521,-2.0185,-1.5513,-5.0345,-7.0178,-9.6872,-6.9341,-7.3328,-4.6379,0.4186,9297.14,9238.8,21381.1,0.416
0,-1.4082,-0.5834,-0.954,0.8448,-0.1116,1.8848,0.098,1.6539,-0.8651,-1.2797,-3.2807,0.1126,0.452,10550.3,9512.97,21526.5,0.416
1,1.9355,2.4326,3.7346,3.4727,3.0596,4.3101,5.183,4.6301,4.329,4.8958,6.4825,6.1791,0.4444,5399.79,7686.94,17405.6,0.0894
1,-2.7726,1.3258,1.1507,0.495,2.4965,0.5081,-1.1082,-2.1287,-2.5157,0.119,-2.9097,-3.6418,0.4152,6468.88,7707.93,16222.6,0.1347
1,-3.8695,-3.2626,-2.7767,-1.8327,-0.8854,-2.0305,-2.0851,-1.7709,-2.9043,-2.598,-1.424,-0.324,0.4435,5730.91,7855.63,17015.3,0.2319
1,-1.9564,-0.7682,0.3614,0.3632,1.0948,1.7801,1.8131,1.1076,1.2286,1.5957,1.5395,1.7215,0.4007,5049.95,7600.94,18588.5,0.0966
7,-2.7726,1.0412,-2.7812,-0.4647,0.3229,-2.6352,-2.9139,-0.5996,-1.5952,-0.9176,-0.9831,-1.9386,0.338,6803.46,5963.06,16703.0,0.163
3,-2.7726,-2.1004,-0.2088,-1.5697,-2.6974,-0.0202,-1.1149,-0.7392,-1.0167,-1.0,-1.8819,-0.721,0.4231,5967.0,6353.25,16942.6,0.1328
3,-2.7726,-0.239,5.7731,2.6364,6.8028,7.6375,7.9022,9.0817,7.3671,7.3919,8.0218,6.9437,0.4643,5496.47,6837.2,16887.4,0.0489
4,0.9755,-2.7609,-2.911,-0.8208,-0.9012,-0.5454,-0.68,-0.4997,-1.7676,-0.8844,-0.6275,-0.4897,0.3236,4336.27,7027.18,14983.1,0.0456
4,-0.8184,-1.5252,-1.2006,-0.5597,-0.5915,-1.2256,-0.3127,-1.9805,-0.9471,-1.679,-0.5628,-2.3937,0.3794,4217.43,6975.18,15584.7,0.0376
4,-2.7726,1.3517,-2.7155,-2.5325,-1.4911,-0.4464,-0.2719,-0.3775,-0.4261,0.5378,-0.1371,0.9807,0.4275,4282.57,6587.43,14758.3,0.0341
0,-2.7726,-0.0452,3.0974,2.781,1.2424,2.2524,-0.1824,-0.2768,-1.8852,-4.8191,-6.0516,-4.8792,0.4221,8786.73,8410.78,19961.3,0.3536
0,-2.7726,-0.3072,0.0368,-7.3624,-5.6543,-4.8797,-1.6549,-2.1784,-3.6146,-3.2685,-3.2892,-2.3508,0.5432,7152.27,7735.83,18727.2,0.2137
0,-2.7726,0.625,2.4611,0.2956,1.9122,1.3038,1.3995,1.8028,2.9959,1.4038,3.6612,1.1402,0.4084,9310.35,8747.74,20262.7,0.3266
1,1.7019,3.1309,2.3495,-1.5642,-2.0351,-1.3785,2.3204,2.7221,2.9155,2.9689,3.6757,4.0238,0.4237,4562.02,6855.95,11333.2,0.1325
1,-0.8329,-0.3522,2.1591,1.6081,-0.2404,-1.0791,-1.1448,-2.3815,-0.7287,0.9611,0.5804,0.4045,0.4778,6003.48,7846.01,16462.1,0.1597
